# SPDX-License-Identifier: GPL-3.0-or-later
# DATASET TAG: MACHINE-DIGITIZED (pixel extraction from a published figure; not flight telemetry)
# Artemis I commanded bank angle vs time relative to Entry Interface (EI)
# Source: AAS 24-174 (NTRS 20240000024) Figure 12(a) "Bank Angle vs. Time",
#   blue "Commanded Bank Angle" trace, extracted from the native embedded raster
#   (PDF page 12, xref 402, 1554x1263 px; pure-color image, no antialiasing)
# Method + uncertainty: docs/digitization/artemis1_bank_commanded.md
# Validation: all six AAS 24-174 Table 3 reversal times reproduced within
#   -0.67..-0.07 s (gate +/-2 s); initial segment +14.9 deg consistent with the
#   paper's "pre-selected bank angle command was 0 deg ... limiting the bank
#   command to 15 deg" (p4); independent Figure 19 digitization agrees to
#   0.2-0.7 deg RMS on constant-command segments after correcting Figure 19's
#   own ~5.3-5.8 s epoch lead (a publication inconsistency, see methods doc)
# Uncertainty: amplitude ~+/-1 deg on holds; timing ~+/-1 s; pixel pitch
#   0.947 s/px, 0.374 deg/px
# Sign convention: signed bank EXACTLY as plotted in Figure 12(a). The paper
#   text defines no bank sign convention (pages 3-7 searched verbatim); the
#   physical meaning of the sign is locked only by the Gate-3 crossrange
#   comparison (see docs/gates/). Flagged for OpenReentry [APPROX-ROTATION].
# Columns:
#   time_rel_EI_s     - sample time, 0.5 s grid (nearest-pixel-column sampling,
#                       never interpolated; column pitch 0.947 s)
#   bank_cmd_deg      - commanded bank, signed degrees; EMPTY when flag != ok
#   flag              - ok | gap_occluded (commanded trace hidden under the
#                       actual-bank trace or event line; value withheld, not
#                       interpolated) | transition (vertical step connector in
#                       this pixel column; command steps here)
#   source_col_time_s - exact time of the source pixel column used
# Replay guidance: command is piecewise constant; hold the last 'ok' value
#   through gap_occluded/transition samples.
time_rel_EI_s,bank_cmd_deg,flag,source_col_time_s
1.0,,transition,1.254
1.5,,transition,1.254
2.0,,transition,2.201
2.5,,transition,2.201
3.0,14.90,ok,3.148
3.5,14.90,ok,3.148
4.0,14.90,ok,4.095
4.5,14.90,ok,4.095
5.0,,gap,5.041
5.5,,gap,5.041
6.0,,gap,5.988
6.5,,gap,6.935
7.0,,gap,6.935
7.5,14.90,ok,7.882
8.0,14.90,ok,7.882
8.5,14.90,ok,8.828
9.0,14.90,ok,8.828
9.5,14.90,ok,9.775
10.0,14.90,ok,9.775
10.5,14.90,ok,10.722
11.0,14.90,ok,10.722
11.5,14.90,ok,11.669
12.0,14.90,ok,11.669
12.5,14.90,ok,12.616
13.0,14.90,ok,12.616
13.5,14.90,ok,13.562
14.0,14.90,ok,13.562
14.5,14.90,ok,14.509
15.0,14.90,ok,15.456
15.5,14.90,ok,15.456
16.0,14.90,ok,16.403
16.5,14.90,ok,16.403
17.0,14.90,ok,17.349
17.5,14.90,ok,17.349
18.0,14.90,ok,18.296
18.5,14.90,ok,18.296
19.0,14.90,ok,19.243
19.5,14.90,ok,19.243
20.0,14.90,ok,20.190
20.5,14.90,ok,20.190
21.0,14.90,ok,21.136
21.5,14.90,ok,21.136
22.0,14.90,ok,22.083
22.5,14.90,ok,22.083
23.0,14.90,ok,23.030
23.5,14.90,ok,23.030
24.0,14.90,ok,23.977
24.5,14.90,ok,24.924
25.0,14.90,ok,24.924
25.5,14.90,ok,25.870
26.0,14.90,ok,25.870
26.5,14.90,ok,26.817
27.0,14.90,ok,26.817
27.5,14.90,ok,27.764
28.0,14.90,ok,27.764
28.5,14.90,ok,28.711
29.0,14.90,ok,28.711
29.5,14.72,ok,29.657
30.0,14.72,ok,29.657
30.5,14.53,ok,30.604
31.0,14.53,ok,30.604
31.5,14.53,ok,31.551
32.0,14.53,ok,31.551
